"cite.key","smd","se","upper","lower","pop_cn","pop_sn","group","exposure","outcome","functional_group","trophic_level","treatment","control","n"
"loehrGenderAgeclassspecificReactions2005",NA,NA,NA,NA,"Thinhorn Sheep","Ovis Dalli","jeuveniles","active disturbance","vigilance","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",1.63561283860153,0.342573868458283,2.30705762077977,0.964168056423299,"Thinhorn Sheep","Ovis Dalli","jeuveniles","active disturbance","foraging","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",4.11619490527606,0.528669367495414,5.15238686556708,3.08000294498505,"Thinhorn Sheep","Ovis Dalli","adults","active disturbance","vigilance","herbivore","1",NA,NA,NA
"loehrGenderAgeclassspecificReactions2005",0.217750344157338,0.295796096949788,0.797510694178923,-0.362010005864247,"Thinhorn Sheep","Ovis Dalli","adults","active disturbance","foraging","herbivore","1",NA,NA,NA
"lopesHumanmodifiedLandscapesAlter2021",-3.64017692272218,0.9200316148839,-1.83691495754974,-5.44343888789463,"Capybaras","Hydrochoerus Hydrochaeris","","passive disturbance","movement","herbivore","1",NA,NA,NA
"matsonFactorsAffectingVigilance2005",1.36492259803629,0.122933519865608,1.60587229697288,1.1239728990997,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1",NA,NA,NA
"matsonFactorsAffectingVigilance2005",0.4113404858508,0.112346558791263,0.631539741081675,0.191141230619924,"Impala","Aepyceros Melampus","","hunting","vigilance","herbivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-0.910945507695315,0.367261710795801,-0.191112554535545,-1.63077846085508,"Western Sandpiper","Calidris Mauri","","active disturbance","foraging","insectivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-0.870219255933847,0.365993390796203,-0.15287220997329,-1.5875663018944,"Western Sandpiper","Calidris Mauri","","active disturbance","vigilance","insectivore","1",NA,NA,NA
"murchisonHumanActivityHabitat2016",-0.526598166231298,0.435091876564874,0.326181911835854,-1.37937824429845,"Semipalmated Plover","Charadrius Semipalmatus","","active disturbance","foraging","herbivore","1",NA,NA,NA
