"cite.key","study_type","sampling","sampling_time","pop_cn","pop_sn","exposure","control","outcome","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","natural predator","bear",123,"","time",5.09,NA,NA,"se",NA,49,"",24.1650294695481
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","human",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","dog",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","wolf",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","foraging","positive control","bear",130,"","time",3.2,NA,NA,"se",NA,49,"",40.625
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","bear",22.3,"","time",3.95,NA,NA,"se",NA,49,"",5.64556962025316
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","bear",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","dog",22.4,"","time",7.44,NA,NA,"se",NA,49,"",3.01075268817204
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","dog",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","hunted","human",16.6,"","time",4.84,NA,NA,"se",NA,49,"",3.4297520661157
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","human",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","natural predator","wolf",27.3,"","time",7.28,NA,NA,"se",NA,49,"",3.75
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","vigilance","positive control","wolf",18.9,"","time",3.41,NA,NA,"se",NA,49,"",5.5425219941349
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","bear",89.1,"","time",9.14,NA,NA,"se",NA,49,"",9.74835886214442
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","bear",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","dog",78.4,"","time",13.7,NA,NA,"se",NA,49,"",5.72262773722628
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","dog",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","hunted","human",143,"","time",16.6,NA,NA,"se",NA,49,"",8.6144578313253
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","human",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","natural predator","wolf",40.3,"","time",12.1,NA,NA,"se",NA,49,"",3.33057851239669
"clinchyFearHumanSuper2016","playback","FIS",150,"Badger","Meles meles","hunting/natural predator","negative control/positive control","latency","positive control","wolf",30.7,"","time",8.21,NA,NA,"se",NA,49,"",3.73934226552984
"cristinavallinoBehaviouralResponsesHuman2019","correlational","",NA,"Alpine Chough","Pyrrhocorax graculus","active disturbance","negative control","foraging","active disturbance","",-1.846,"","coefficient",0.583,NA,NA,"se",NA,154,"",3.1663807890223
"crosmaryVulnerabilityPredationWater2012","correlational","FIS",120,"Impala","","hunting","negative control","vigilance","Control:hunted","",0.42,"","coefficient",0.114795918367347,0.65,0.2,"ci",NA,267,"hunting-control contrast",3.65866666666667
"crosmaryVulnerabilityPredationWater2012","correlational","FIS",120,"Greater Kudu","","hunting","negative control","vigilance","Control:hunted","",0.24,"","coefficient",0.076530612244898,0.39,0.09,"ci",NA,174,"hunting-control contrast",3.136
"crosmaryVulnerabilityPredationWater2012","correlational","FIS",120,"Sable Antelope","","hunting","negative control","vigilance","Control:hunted","",0.42,"","coefficient",0.137755102040816,0.69,0.15,"ci",NA,53,"hunting-control contrast",3.04888888888889
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","active disturbance","Moro",1.53,"Log-proportion","time",0.04,NA,NA,"se",NA,20,"",38.25
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","active disturbance","Oeste",1.39,"Log-proportion","time",0.05,NA,NA,"se",NA,20,"",27.8
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","active disturbance","Retiro",1.41,"Log-proportion","time",0.04,NA,NA,"se",NA,20,"",35.25
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","control","Moro",0.08,"Log-proportion","time",0.022,NA,NA,"se",NA,20,"",3.63636363636364
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","control","Oeste",0.17,"Log-proportion","time",0.02,NA,NA,"se",NA,20,"",8.5
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","vigilance","control","Retiro",0.07,"Log-proportion","time",0,NA,NA,"se",NA,20,"",Inf
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","active disturbance","Moro",0.03,"Log-proportion","time",0.025,NA,NA,"se",NA,20,"",1.2
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","active disturbance","Oeste",0.19,"Log-proportion","time",0.04,NA,NA,"se",NA,20,"",4.75
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","active disturbance","Retiro",0.103,"Log-proportion","time",0.019,NA,NA,"se",NA,20,"",5.42105263157895
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","control","Moro",0.88,"Log-proportion","time",0.05,NA,NA,"se",NA,20,"",17.6
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","control","Oeste",0.99,"Log-proportion","time",0.04,NA,NA,"se",NA,20,"",24.75
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","FIS",420,"Blackbird","Turdus merula","active disturbance","negative control","foraging","control","Retiro",0.91,"Log-proportion","time",0.05,NA,NA,"se",NA,20,"",18.2
"gavinPronghornAntilocapraAmericana2006","treatment-control","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive disturbance","negative control","foraging","passive disturbance","",210,"proportion","time",18,NA,NA,"se",NA,122,"",11.6666666666667
"gavinPronghornAntilocapraAmericana2006","treatment-control","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive disturbance","negative control","foraging","control","",270,"proportion","time",30,NA,NA,"se",NA,122,"",9
"gavinPronghornAntilocapraAmericana2006","treatment-control","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive disturbance","negative control","vigilance","passive disturbance","",306,"proportion","time",18,NA,NA,"se",NA,122,"",17
"gavinPronghornAntilocapraAmericana2006","treatment-control","FIS",600,"Pronghorn Antelope","Antilocapra americana","passive disturbance","negative control","vigilance","control","",240,"proportion","time",24,NA,NA,"se",NA,122,"",10
"gerte.olssonEffectsHuntingWillow1996","treatment-control","",NA,"Willow Grouse","Lagopus lagopus","hunting","negative control","displacement","hunting","",615,"median","m",200.740740740741,943,401,"interquantile",NA,43,"",3.06365313653137
"gerte.olssonEffectsHuntingWillow1996","treatment-control","",NA,"Willow Grouse","Lagopus lagopus","hunting","negative control","displacement","control","",640,"median","m",132.222222222222,807,450,"interquantile",NA,40,"",4.84033613445378
"gerte.olssonEffectsHuntingWillow1996","treatment-control","",NA,"Willow Grouse","Lagopus lagopus","hunting","negative control","movement rate","hunting","",336,"median","m/day",77.4074074074074,481,272,"interquantile",NA,43,"",4.34066985645933
"gerte.olssonEffectsHuntingWillow1996","treatment-control","",NA,"Willow Grouse","Lagopus lagopus","hunting","negative control","movement rate","control","",374,"median","m/day",104.814814814815,481,198,"interquantile",NA,40,"",3.56819787985866
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Chipmunk","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","foraging","control","",15.62,"","time",1.77551020408163,NA,NA,"ci",NA,35,"",8.79747126436782
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Chipmunk","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","foraging","passive disturbance","",13.9,"","time",1.29081632653061,NA,NA,"ci",NA,36,"",10.7683794466403
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Mouse","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","foraging","control","",9.21,"","time",0.964285714285714,NA,NA,"ci",NA,22,"",9.55111111111111
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Mouse","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","foraging","passive disturbance","",14.21,"","time",1.34183673469388,NA,NA,"ci",NA,37,"",10.5899619771863
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Chipmunk","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","vigilance","control","",0.81,"","time",0.0663265306122449,NA,NA,"ci",NA,35,"",12.2123076923077
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Chipmunk","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","vigilance","passive disturbance","",1.12,"","time",0.076530612244898,NA,NA,"ci",NA,36,"",14.6346666666667
"giordanoPreyResponsesPredation2022","treatment-control","FIS",45,"Mouse","Tamias striatus/Peromyscus leucopus","passive disturbance","positive control","vigilance","control","",0,"","time",0,NA,NA,"ci",NA,22,"",NA
