"","X","pop_cn","pop_sn","functional_group","trophic_level","phylum","class","order","family","genus","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body.mass","body.mass...units","body.mass...minimum","body.mass...maximum","body.mass...method","body.mass...comments","body.mass...metadata.comment","original.body.mass","original.body.mass...units","metabolic.rate","metabolic.rate...units","metabolic.rate...minimum","metabolic.rate...maximum","metabolic.rate...method","metabolic.rate...comments","metabolic.rate...metadata.comment","original.metabolic.rate","original.metabolic.rate...units","original.respiratoryQuotient","original.temperature","mass.specific.metabolic.rate","mass.specific.metabolic.rate...units","brain.size","brain.size...units","brain.size...minimum","brain.size...maximum","brain.size...method","brain.size...comments","brain.size...metadata.comment","original.brain.size","original.brain.size...units"
"17",17,"Hooded Crane","Grys monacha","insectivore",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",32,"Sable Antelope","Hippotragus niger","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",6,"Capybaras","Hydrochoerus hydrochaeris","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",42,"Willow Grouse","Lagopus lagopus","granivore",1,"Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","male",3,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",0.542,"kg",NA,NA,"","",NA,"0.542","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.002377,"kg",NA,NA,"brain weighed","","",2.377,"g"
"21",42,"Willow Grouse","Lagopus lagopus","granivore",1,"Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","female",1,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",0.54,"kg",NA,NA,"","",NA,"0.54","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.0028,"kg",NA,NA,"brain weighed","","",2.8,"g"
"22",NA,"Willow Ptarmigan","Lagopus lagopus","granivore",1,"Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","male",3,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",0.542,"kg",NA,NA,"","",NA,"0.542","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.002377,"kg",NA,NA,"brain weighed","","",2.377,"g"
"23",NA,"Willow Ptarmigan","Lagopus lagopus","granivore",1,"Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","female",1,"Crile & Quiring, 1940","1940","Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science",0.54,"kg",NA,NA,"","",NA,"0.54","kg",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.0028,"kg",NA,NA,"brain weighed","","",2.8,"g"
"24",16,"Guanco","Lama guanicoe","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",43,"Yellowbellied Marmot","Marmota flaviventris","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",3,"Badger","Meles meles","omnivore",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"Mule Deer","Odocoileus hemionus","herbivore",1,"Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","hemionus","",1,"Warnke, 1908","1908","Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"","","",NA,"",NA,"",NA,"",0.195,"kg",NA,NA,"","Odoileus haemionus","German?",195,"g"
"28",37,"Thinhorn Sheep","Ovis dalli","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",22,"Mouse","Peromyscus leucopus","herbivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
