"cite.key","Title","Authors","year"
"tsurimFORAGINGBEHAVIORURBAN2008","FORAGING BEHAVIOR OF URBAN BIRDS ARE HUMAN COMMENSALS LESS SENSITIVE TO PREDATION RISK THAN THEIR NONURBAN COUNTERPARTS?","I Tsurim, Z Abramsky, BP Kotler","2008"
"stankowichUngulateFlightResponses2008","Ungulate flight responses to human disturbance A review and meta-analysis","T Stankowich","2008"
"rodriguez-prietoRunFlyLow2008","To run or to fly low cost versus low risk escape strategies in blackbirds","I Rodriguez-Prieto, E Fernandez-Juricic, J Martin","2008"
"rippleTrophicCascadesInvolving2008","Trophic cascades involving cougar, mule deer, and black oaks in Yosemite National Park","WJ Ripple, RL Beschta","2008"
"priceImpactHumanDisturbance2008","The impact of human disturbance on birds A selective review","M. Price","2008"
"laursenHuntingMotorboatsDisplaces2008","Hunting from motorboats displaces Wadden Sea eiders Somateria mollissima from their favoured feeding distribution","K Laursen, J Frikke","2008"
"jayakodyRedDeerCervus2008","Red deer Cervus elephus vigilance behaviour differs with habitat and type of human disturbance","S Jayakody, AM Sibbald, IJ Gordon, X Lambin","2008"
"hebblewhiteModellingWildlifehumanRelationships2008","Modelling wildlife-human relationships for social species with mixed-effects resource selection models","M Hebblewhite, E Merrill","2008"
"garnerHumanDisturbanceInfluences2008","Human disturbance influences behaviour and local density of juvenile frogs","TWJ Garner, D Nishimura, J Antwi, N Oliver","2008"
"carterSubtleCuesPredation2008","Subtle cues of predation risk starlings respond to a predator's direction of eye-gaze","J Carter, NJ Lyons, HL Cole, AR Goldsmith","2008"
"benhaiemHuntingIncreasesVigilance2008","Hunting increases vigilance levels in roe deer and modifies feeding site selection","S. Benhaiem, M. Delon, B. Lourtet, B. Cargnelutti, S. Aulagnier, A.J.M. Hewison, N. Morellet, H. Verheyden","2008"
"wolfSIGNSTOPHABITAT2009","SIGNS AT THE TOP HABITAT FEATURES INFLUENCING SNOW LEOPARD UNCIA UNCIA ACTIVITY IN SAGARMATHA NATIONAL PARK, NEPAL","M Wolf, S Ale","2009"
"tolonRespondingSpatialTemporal2009","Responding to spatial and temporal variations in predation risk space use of a game species in a changing landscape of fear","V Tolon, S Dray, A Loison, A Zeileis, C Fischer, E Baubet","2009"
"theuerkaufWhatDrivesWolves2009","What Drives Wolves Fear or Hunger? Humans, Diet, Climate and Wolf Activity Patterns","J Theuerkauf","2009"
"scheibeBehaviorWildAnimals2009","Behavior of wild animals against humans in reservations, sanctuaries, and hunted areas - review and theoretical approach","K.S. Scheibe","2009"
