"cite.key","Title","Authors","year"
"hansenHabituationHumansPredatorfree2015","Habituation to humans in a predator-free wild ungulate","BB Hansen, R Aanes","2015"
"gendallToleranceDisturbanceHumans2015","Tolerance of disturbance by humans in long-time resident and recent colonist urban doves","J Gendall, A Lill, J Beckman","2015"
"garcia-garciaDoesGatheringShellfish2015","Does the gathering of shellfish affect the behavior of gastropod scavengers on sandy beaches? A field experiment","FJ Garcia-Garcia, MJ Reyes-Martinez, MC Ruiz-Delgado, JE Sanchez-Moyano, MC Casas, A Perez-Hurtado","2015"
"blasiInfluenceTrammelNets2015","Influence of Trammel Nets on the Behaviour and Spatial Distribution of Bottlenose Dolphins (Tursiops truncatus) in the Aeolian Archipelago, Southern Italy","MF Blasi, A Giuliani, L Boitani","2015"
"bjorvikBirdFlightInitiation2015","Bird flight initiation distances in relation to distance from human settlements in a Tanzanian floodplain habitat","LM Bjorvik, S Dale, GH Hermansen, PKT Munishi, SR Moe","2015"
"bensonSpatiotemporalVariationSelection2015","Spatiotemporal variation in selection of roads influences mortality risk for canids in an unprotected landscape","JF Benson, PJ Mahoney, BR Patterson","2015"
"wheatHabituationReversesFearbased2016","Habituation reverses fear-based ecological effects in brown bears (Ursus arctos)","RE Wheat, CC Wilmers","2016"
"weteringsStrongReactiveMovement2016","Strong reactive movement response of the medium-sized European hare to elevated predation risk in short vegetation","MJA Weterings, M Zaccaroni, N van der Koore, LM Zijlstra, HJ Kuipers, F van Langevelde, SE van Wieren","2016"
"uchidaSeasonalVariationFlight2016","Seasonal variation of flight initiation distance in Eurasian red squirrels in urban versus rural habitat","K Uchida, K Suzuki, T Shimamoto, H Yanagawa, I Koizumi","2016"
"tranSpearfishinginducedBehavioralChanges2016","Spearfishing-induced behavioral changes of an unharvested species inside and outside a marine protected area","DSC Tran, KA Langel, MJ Thomas, DT Blumstein","2016"
"smithSpatialCharacteristicsResidential2016","Spatial characteristics of residential development shift large carnivore prey habits","J.A. Smith, Y. Wang, C.C. Wilmers","2016"
"shannonRoadNoiseCauses2016","Road noise causes earlier predator detection and flight response in a free-ranging mammal","G Shannon, KR Crooks, G Wittemyer, KM Fristrup, LM Angeloni","2016"
"schuetteUngulateDistributionsRangeland2016","Ungulate distributions in a rangeland with competitors, predators and pastoralists","P Schuette, S Creel, D Christianson","2016"
"reislandSympatricApesSacred2016","Sympatric Apes in Sacred Forests Shared Space and Habitat Use by Humans and Endangered Javan Gibbons (Hylobates moloch)","MA Reisland, JE Lambert","2016"
"polichFlightInitiationDistance2016","Flight Initiation Distance in a Freshwater Turtle, Chrysemys picta","RL Polich, M Barazowski","2016"
"podgorskiDriversSynchronizedVigilance2016","Drivers of synchronized vigilance in wild boar groups","T Podgorski, S de Jong, JW Bubnicki, DPJ Kuijper, M Churski, B Jedrzejewska","2016"
"pecorellaEffectsCullingVigilance2016","Effects of culling on vigilance behaviour and endogenous stress response of female fallow deer","I Pecorella, F Ferretti, A Sforzi, E Macchi","2016"
"parsonsEcologicalImpactHumans2016","The ecological impact of humans and dogs on wildlife in protected areas in eastern North America","AW Parsons, C Bland, T Forrester, MC Baker-Whatton, SG Schuttler, WJ McShea, R Costello, R Kays","2016"
"nowakInfluenceLivecaptureRisk2016","Influence of live-capture on risk perceptions of habituated samango monkeys","K Nowak, SA Richards, A le Roux, RA Hill","2016"
"murchisonHumanActivityHabitat2016","Human Activity and Habitat Characteristics Influence Shorebird Habitat Use and Behavior at a Vancouver Island Migratory Stopover Site","CR Murchison, Y Zharikov, E Nol","2016"
"liCollectiveVigilanceWintering2016","Collective Vigilance in the Wintering Hooded Crane The Role of Flock Size and Anthropogenic Disturbances in a Human-Dominated Landscape","CL Li, G Beauchamp, Z Wang, P Cui","2016"
"lamannaBehavioralResponseBrown2016","Behavioral response of brown meagre (Sciaena umbra) to boat noise","G La Manna, M Manghi, F Perretti, G Sara","2016"
"kuijperPawsClawsEcological2016","Paws without claws? Ecological effects of large carnivores in anthropogenic landscapes","DPJ Kuijper, E Sahlen, B Elmhagen, S Chamaille-Jammes, H Sand, K Lone, JPGM Cromsigt","2016"
"krishnaWildUngulateDecisionMaking2016","Wild Ungulate Decision-Making and the Role of Tiny Refuges in Human-Dominated Landscapes","YC Krishna, A Kumar, K Isvaran","2016"
"isojunnoSpermWhalesReduce2016","Sperm whales reduce foraging effort during exposure to 1-2 kHz sonar and killer whale sounds","S Isojunno, C Cure, PH Kvadsheim, FPA Lam, PL Tyack, PJ Wensveen, PJO Miller","2016"
"holmernEffectsExperimentalHuman2016","Effects of experimental human approaches on escape behavior in Thomson's gazelle (Eudorcas thomsonii)","T Holmern, TH Setsaas, C Melis, J Tufto, E Roskaft","2016"
"hertelTemporalEffectsHunting2016","Temporal effects of hunting on foraging behavior of an apex predator Do bears forego foraging when risk is high?","AG Hertel, A Zedrosser, A Mysterud, OG Stoen, SMJG Steyaert, JE Swenson","2016"
"guayAvianBufferInteractiveTool2016","AvianBuffer An interactive tool for characterising and managing wildlife fear responses","PJ Guay, WFD van Dongen, RW Robinson, DT Blumstein, MA Weston","2016"
"gregoryResponsesNatricineSnakes2016","Responses of Natricine Snakes to Predatory Threat A Mini-Review and Research Prospectus","PT Gregory","2016"
"freebergForagingCallingBehavior2016","Foraging and Calling Behavior of Carolina chickadees (Poecile carolinensis) in Response to the Head Orientation of Potential Predators","TM Freeberg, DL Book, RL Weiner","2016"
"diaz-ruizDriversRedFox2016","Drivers of red fox (Vulpes vulpes) daily activity prey availability, human disturbance or habitat structure?","F Diaz-Ruiz, J Caro, M Delibes-Mateos, B Arroyo, P Ferreras","2016"
"collopVariabilityAreaEnergy2016","Variability in the area, energy and time costs of wintering waders responding to disturbance","C Collop, RA Stillman, A Garbutt, MG Yates, E Rispin, T Yates","2016"
"colefaxEffectAnglingIntensity2016","Effect of angling intensity on feeding behaviour and community structure of subtropical reef-associated fishes","AP Colefax, MDE Haywood, IR Tibbetts","2016"
"clinchyFearHumanSuper2016","Fear of the human ""Super Predator"" far exceeds the fear of large carnivores in a model mesocarnivore","M Clinchy, LY Zanette, D Roberts, JP Suraci, CD Buesching, C Newman, DW Macdonald","2016"
"cavalliDifferentialRiskPerception2016","Differential risk perception of rural and urban Burrowing Owls exposed to humans and dogs","M Cavalli, AV Baladron, JP Isacch, LM Biondi, MS Bo","2016"
"brubakerEffectsSingleMixedSpecies2016","Effects of Single- and Mixed-Species Group Composition on the Flight Initiation Distances of Plains and Grevy's Zebras","AS Brubaker, RG Coss","2016"
"blackwellNoSingleSolution2016","No single solution application of behavioural principles in mitigating human-wildlife conflict","BF Blackwell, TL DeVault, E Fernandez-Juricic, EM Gese, L Gilbert-Norton, SW Breck","2016"
"bergsethProtectedAreasPreserve2016","Protected areas preserve natural behaviour of a targeted fish species on coral reefs","BJ Bergseth, DH Williamson, AJ Frisch, GR Russ","2016"
"bensonIndividualPopulationLevel2016","Individual and population level resource selection patterns of mountain lions preying on mule deer along an urban-wildland gradient","J.F. Benson, J.A. Sikich, S.P.D. Riley","2016"
"battlePREDICTORSFLIGHTBEHAVIOR2016","PREDICTORS OF FLIGHT BEHAVIOR IN RURAL AND URBAN SONGBIRDS","KE Battle, SL Foltz, IT Moore","2016"
"adamEffectStartHunting2016","Effect of Start of Hunting Season on Behaviour of Greylag Geese Anser anser","M. Adam, M. Podhrázský, P. Musil","2016"
"Madin2016","Human activities change marine ecosystems by altering predation risk","EMP Madin, LM Dill, AD Ridlon, MR Heithaus, RR Warner","2016"
"welchHunterHuntedPerceptions2017","Hunter or hunted? Perceptions of risk and reward in a small mesopredator","RJ Welch, S Periquet, MB Petelle, A le Roux","2017"
"visscherHumanRiskInduced2017","Human Risk Induced Behavioral Shifts in Refuge Use by Elk in an Agricultural Matrix","DR Visscher, I MacLeod, K Vujnovic, D Vujnovic, PD DeWitt","2017"
"thurfjellLearningMistakesOthers2017","Learning from the mistakes of others How female elk (Cervus elaphus) adjust behaviour with age to avoid hunters","H Thurfjell, S Ciuti, MS Boyce","2017"
"tabladoDeterminantsUncertaintyWildlife2017","Determinants of uncertainty in wildlife responses to human disturbance","Zulima Tablado, Lukas Jenni","2017"
"suttonEffectsHumanState2017","Effects of human state park visitation rates on escape behavior of white-tailed deer","NM Sutton, EJ Heske","2017"
"stillfriedSecretsSuccessLandscape2017","Secrets of Success in a Landscape of Fear Urban Wild Boar Adjust Risk Perception and Tolerate Disturbance","M Stillfried, P Gras, K Borner, F Goritz, J Painer, K Rollig, M Wenzler, H Hofer, S Ortmann, S Kramer-Schadt","2017"
"smithFearHumanSuper2017","Fear of the human 'super predator' reduces feeding time in large carnivores","JA Smith, JP Suraci, M Clinchy, A Crawford, D Roberts, LY Zanette, CC Wilmers","2017"
"schuttlerDeerLookoutHow2017a","Deer on the lookout How hunting, hiking and coyotes affect white-tailed deer vigilance","S. G. Schuttler, A. W. Parsons, T. D. Forrester, M. C. Baker, W. J. McShea, R. Costello, R. Kays","2017"
"schaknerCanFearConditioning2017","Can fear conditioning repel California sea lions from fishing activities?","ZA Schakner, T Gotz, VM Janik, DT Blumstein","2017"
"sarmentoHumanVisitationLimits2017","Human visitation limits the utility of protected areas as ecological baselines","WM Sarmento, J Berger","2017"
"samiaRuralUrbanDifferencesEscape2017","Rural-Urban Differences in Escape Behavior of European Birds across a Latitudinal Gradient","DSM Samia, DT Blumstein, M Diaz, T Grim, JD Ibanez-Alamo, J Jokimaki, K Tatte, G Marko, P Tryjanowski, AP Moller","2017"
"planteLandscapeAttributesExplain2017","Landscape attributes explain migratory caribou vulnerability to sport hunting","S Plante, C Dussault, SD Cote","2017"
"petrelliFirstFlushEffects2017","First to Flush The Effects of Ambient Noise on Songbird Flight Initiation Distances and Implications for Human Experiences with Nature","AR Petrelli, MJ Levenhagen, R Wardle, JR Barber, CD Francis","2017"
"personsHumanActivityHabitat2017","Human activity and habitat type affect perceived predation risk in urban white-footed mice (Peromyscus leucopus)","WE Persons, P Eason","2017"
"patonHuntingExacerbatesResponse2017","Hunting exacerbates the response to human disturbance in large herbivores while migrating through a road network","DG Paton, S Ciuti, M Quinn, MS Boyce","2017"
"ordizSeasonalityHumanDisturbance2017","Seasonality and human disturbance alter brown bear activity patterns implications for circumpolar carnivore conservation?","A Ordiz, S Saebo, J Kindberg, JE Swenson, OG Stoen","2017"
"nowakSamangoMonkeysCercopithecus2017","Samango Monkeys (Cercopithecus albogularis labiatus) Manage Risk in a Highly Seasonal, Human-Modified Landscape in Amathole Mountains, South Africa","K Nowak, K Wimberger, SA Richards, RA Hill, A le Roux","2017"
"morris-drakeAnthropogenicNoiseAlters2017","Anthropogenic noise alters dwarf mongoose responses to heterospecific alarm calls","A Morris-Drake, AM Bracken, JM Kern, AN Radford","2017"
"moriPorcupinesLandscapeFear2017","Porcupines in the landscape of fear effect of hunting with dogs on the behaviour of a non-target species","E Mori","2017"
"lowreyTOLERANCEDISTURBANCEREGULATED2017","TOLERANCE TO DISTURBANCE REGULATED BY ATTRACTIVENESS OF RESOURCES A CASE STUDY OF DESERT BIGHORN SHEEP WITHIN THE RIVER MOUNTAINS, NEVADA","C Lowrey, KM Longshore","2017"
"lovariSuburbanEcologyCrested2017","Suburban ecology of the crested porcupine in a heavily poached area a global approach","S. Lovari, M.T. Corsini, B. Guazzini, G. Romeo, E. Mori","2017"
"loneTemporalVariationHabitat2017","Temporal variation in habitat selection breaks the catch-22 of spatially contrasting predation risk from multiple predators","K Lone, A Mysterud, T Gobakken, J Odden, J Linnell, LE Loe","2017"
"lesmerisesRefugePredationRisk2017","Refuge or predation risk? Alternate ways to perceive hiker disturbance based on maternal state of female caribou","F Lesmerises, CJ Johnson, MH St-Laurent","2017"
"jiangEscapePredatorsGenetic2017","Escape from predators and genetic variance in birds","Y. Jiang, A.P. Møller","2017"
"jiangAntipredatorEscapeDistances2017","Antipredator escape distances of common and threatened birds","YT Jiang, AP Moller","2017"
"haswellLargeCarnivoreImpacts2017","Large carnivore impacts are context-dependent","Peter M. Haswell, Josip Kusak, Matt W. Hayward","2017"
"griffinIndividuallevelBehavioralResponses2017","Individual-level behavioral responses of immature green turtles to snorkeler disturbance","LP Griffin, JW Brownscombe, TO Gagne, ADM Wilson, SJ Cooke, AJ Danylchuk","2017"
"gehrLandscapeCoexistenceLarge2017","A landscape of coexistence for a large predator in a human dominated landscape","B Gehr, EJ Hofer, S Muff, A Ryser, E Vimercati, K Vogt, LF Keller","2017"
"diazpauliBehaviouralResponsesHumaninduced2017","Behavioural responses to human-induced change Why fishing should not be ignored","Beatriz Diaz Pauli, Andrew Sih","2017"
"carreteBehavioralCorrelationsAssociated2017","Behavioral Correlations Associated with Fear of Humans Differ between Rural and Urban Burrowing Owls","M Carrete, JL Tella","2017"
"cappaEffectsRoadsBehaviour2017","Effects of roads on the behaviour of the largest South American artiodactyl (Lama guanicoe) in an Argentine reserve","FM Cappa, SM Giannoni, CE Borghi","2017"
"cappaEffectsPoachingHabitat2017","The effects of poaching and habitat structure on anti-predator behavioral strategies A guanaco population in a high cold desert as case study","F Cappa, V Campos, S Giannoni, N Andino","2017"
"cabreraIslandTamenessRepeatability2017","Island tameness and the repeatability of flight initiation distance in a large herbivore","D Cabrera, D Andres, PD McLoughlin, L Debeffe, SA Medill, AJ Wilson, J Poissant","2017"
"bonnotStickTwistRoe2017","Stick or twist roe deer adjust their flight behaviour to the perceived trade-off between risk and reward","NC Bonnot, AJM Hewison, N Morellet, JM Gaillard, L Debeffe, O Couriot, B Cargnelutti, Y Chaval, B Lourtet, P Kjellander, C Vanpe","2017"
"yamashitaAntipredatorBehaviourAfrican2018","Antipredator behaviour of African ungulates around human settlements","T Yamashita, KM Gaynor, J Kioko, J Brashares, C Kiffner","2018"
"vandonselaarUrbanizationAltersFear2018","Urbanization alters fear behavior in black-capped chickadees","JL Van Donselaar, JL Atma, ZA Kruyf, HN LaCroix, DS Proppe","2018"
"vancleaveDielPatternsMovement2018","Diel patterns of movement activity and habitat use by leopards (Panthera pardus pardus) living in a human-dominated landscape in central Kenya","EK Van Cleave, LR Bidner, AT Ford, D Caillaud, CC Wilmers, LA Isbell","2018"
"tatteIntegratedViewEscape2018","Towards an integrated view of escape decisions in birds relation between flight initiation distance and distance fled","K Tatte, AP Moller, R Mand","2018"
"sullivanRecognizingDangerZone2018","Recognizing the danger zone response of female white-tailed to discrete hunting events","JD Sullivan, SS Ditchkoff, BA Collier, CR Ruth, JB Raglin","2018"
"shamoonIncreasedMammalNocturnality2018","Increased mammal nocturnality in agricultural landscapes results in fragmentation due to cascading effects","H Shamoon, R Maor, D Saltz, T Dayan","2018"
"seccoHabitatSelectionBlacktufted2018","Habitat selection by the black-tufted marmoset Callithrix penicillata in human-disturbed landscapes","H Secco, C Grilo, A Bager","2018"
"sbragagliaSpearfishingModulatesFlight2018","Spearfishing modulates flight initiation distance of fishes the effects of protection, individual size, and bearing a speargun","V Sbragaglia, L Morroni, L Bramanti, B Weitzmann, R Arlinghaus, E Azzurro","2018"
"rhoadesFishedSpeciesUniformly2018","Fished species uniformly reduced escape behaviors in response to protection","OK Rhoades, SI Lonhart, JJ Stachowicz","2018"
"planteHumanDisturbanceEffects2018","Human disturbance effects and cumulative habitat loss in endangered migratory caribou","S Plante, C Dussault, JH Richard, SD Cote","2018"
"peksaDaytimeActivityBudget2018","Daytime activity budget of an alpine ungulate (Tatra chamois Rupicapra rupicapra tatrica) influence of herd size, sex, weather and human disturbance","L Peksa, M Ciach","2018"
"osorio-beristainRelatingFlightInitiation2018","Relating flight initiation distance in birds to tropical dry forest restoration","M Osorio-Beristain, A Rodriguez, C Martinez-Garza, RE Alcala","2018"
"mikulaRiskPerceptionVervet2018","Risk perception of vervet monkeys Chlorocebus pygerythrus to humans in urban and rural environments","P Mikula, G Saffa, E Nelson, P Tryjanowski","2018"
"mccormickBoatNoiseImpacts2018","Boat noise impacts risk assessment in a coral reef fish but effects depend on engine type","Mark I. McCormick, Bridie J. M. Allan, Harry Harding, Stephen D. Simpson","2018"
"harrisMarineMammalsSonar2018","Marine mammals and sonar Dose-response studies, the risk-disturbance hypothesis and the role of exposure context","CM Harris, L Thomas, EA Falcone, J Hildebrand, D Houser, PH Kvadsheim, FPA Lam, PJO Miller, DJ Moretti, AJ Read, H Slabbekoorn, BL Southall, PL Tyack, D Wartzok, VM Janik","2018"
"haidtHumanBeastFlightAggressive2018","Human and the beast-Flight and aggressive responses of European bison to human disturbance","A Haidt, T Kaminski, T Borowik, R Kowalczyk","2018"
"goldenbergIntergenerationalChangeAfrican2018","Inter-generational change in African elephant range use is associated with poaching risk, primary productivity and adult mortality","SZ Goldenberg, I Douglas-Hamilton, G Wittemyer","2018"
"genovartDifferentialAdultSurvival2018","Differential adult survival at close seabird colonies The importance of spatial foraging segregation and bycatch risk during the breeding season","M Genovart, J Becares, JM Igual, A Martinez-Abrain, R Escandell, A Sanchez, B Rodriguez, JM Arcos, D Oro","2018"
"cavalliRoleHabituationAdjustment2018","The role of habituation in the adjustment to urban life An experimental approach with burrowing owls","M Cavalli, AV Baladron, JP Isacch, LM Biondi, MS Bo","2018"
"braimohManagingHumanDisturbance2018","Managing human disturbance factors influencing flight-initiation distance of birds in a West African nature reserve","B Braimoh, S Iwajomo, M Wilson, A Chaskda, A Ajang, W Cresswell","2018"
"botschEffectHumanRecreation2018","Effect of human recreation on bird anti-predatory response","Y Botsch, S Gugelmann, Z Tablado, L Jenni","2018"
"blechaHungerMediatesApex2018","Hunger mediates apex predator's risk avoidance response in wildland-urban interface","KA Blecha, RB Boone, MW Alldredge","2018"
"blankEscapingBehaviorGoitered2018","Escaping behavior in goitered gazelle","DA Blank","2018"
"belottiRecreationalActivitiesAffect2018","Recreational activities affect resting site selection and foraging time of Eurasian lynx (Lynx lynx)","E Belotti, K Mayer, J Kreisinger, M Heurich, L Bufka","2018"
"aikinsEvaluationLevelHuman2018","An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana","TK Aikins, F Gbogbo, EH Owusu","2018"
"zamanIncreasedFlightInitiation2019","Increased Flight Initiation Distance (FID) in Golden Marmots (Marmota caudata aurea) Responding to Domestic Dogs in A Landscape of Human Disturbance","M Zaman, BA Tolhurst, MY Zhu, GS Jiang","2019"
"vinczeGreatTitsTake2019","Great tits take greater risk toward humans and sparrowhawks in urban habitats than in forests","E Vincze, I Pipoly, G Seress, B Preiszner, S Papp, B Nemeth, A Liker, V Bokony","2019"
"uchidaDecreasedVigilanceHabituation2019","Decreased vigilance or habituation to humans? Mechanisms on increased boldness in urban animals","K Uchida, KK Suzuki, T Shimamoto, H Yanagawa, I Koizumi","2019"
"tatteAntipredatorFunctionVigilance2019","Antipredator function of vigilance re-examined vigilant birds delay escape","K Tatte, JD Ibanez-Alamo, G Marko, R Mand, AP Moller","2019"
"suraciHumansNotTheir2019","Humans, but not their dogs, displace pumas from their kills An experimental approach","JP Suraci, JA Smith, M Clinchy, L Zanette, CC Wilmers","2019"
"suraciFearHumansApex2019","Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice","JP Suraci, M Clinchy, LY Zanette, CC Wilmers","2019"
"suraciBehaviorspecificHabitatSelection2019","Behavior-specific habitat selection by African lions may promote their persistence in a human-dominated landscape","JP Suraci, LG Frank, A Oriol-Cotterill, S Ekwanga, TM Williams, CC Wilmers","2019"
"stamoulisFlightBehaviorTargeted2019","Flight behavior of targeted fishes depends on variables other than fishing","KA Stamoulis, ES Harvey, AM Friedlander, ID Williams, KC Weng, C Wiggins, GW Wagner, EJ Conklin","2019"
"spitzBehavioralChangesNutritional2019","Behavioral changes and nutritional consequences to elk ( Cervus canadensis ) avoiding perceived risk from human hunters","Derek B. Spitz, Mary M. Rowland, Darren A. Clark, Michael J. Wisdom, Joshua B. Smith, Casey L. Brown, Taal Levi","2019"
"shoresMesopredatorsChangeTemporal2019","Mesopredators change temporal activity in response to a recolonizing apex predator","C.R. Shores, J.A. Dellinger, E.S. Newkirk, S.M. Kachel, A.J. Wirsing","2019"
"samiaMetaanalysisFishBehavioural2019","A meta-analysis of fish behavioural reaction to underwater human presence","DSM Samia, E Bessa, DT Blumstein, JACC Nunes, E Azzurro, L Morroni, V Sbragaglia, FA Januchowski-Hartley, B Geffroy","2019"
"rhoadesHumaninducedReductionsFish2019","Human-induced reductions in fish predator boldness decrease their predation rates in kelp forests","OK Rhoades, SI Lonhart, JJ Stachowicz","2019"
"picardiMovementResponsesRoe2019","Movement responses of roe deer to hunting risk","S Picardi, M Basille, W Peters, JM Ponciano, L Boitani, F Cagnacci","2019"
"pattenIntersectionHumanDisturbance2019","The Intersection of Human Disturbance and Diel Activity, with Potential Consequences on Trophic Interactions","MA Patten, JC Burger, M Mitrovich","2019"
"otienoHumanRiskmediatedBrowsing2019","Human- and risk-mediated browsing pressure by sympatric antelope in an African savanna","TO Otieno, JR Goheen, PW Webala, A Mwangi, IM Osuga, AT Ford","2019"
"nunesReefFishAntipredator2019","Reef fish antipredator behavior in remote islands does not reflect patterns seen in coastal areas","JACC Nunes, DT Blumstein, VJ Giglio, F Barros, JP Quimbayo","2019"
"mohlmanNonconsumptiveEffectsHunting2019","Nonconsumptive effects of hunting on a nontarget game bird","J.L. Mohlman, R.R. Gardner, I.B. Parnell, N.G. Wilhite, J.A. Martin","2019"
"mikleForageFleeLessons2019","To forage or flee lessons from an elk migration near a protected area","N.L. Mikle, T.A. Graves, E.M. Olexa","2019"
"lodberg-holmHumaninducedLandscapeFear2019","A human-induced landscape of fear influences foraging behavior of brown bears","HK Lodberg-Holm, HW Gelink, AG Hertel, E Swenson, M Domevscik, SMJG Steyaert","2019"
"ladleGrizzlyBearResponse2019","Grizzly bear response to spatio-temporal variability in human recreational activity","A Ladle, T Avgar, M Wheatley, GB Stenhouse, SE Nielsen, MS Boyce","2019"
"kalbFlightInitiationDistance2019","Flight initiation distance and escape behavior in the black redstart (Phoenicurus ochruros)","N. Kalb, F. Anger, C. Randler","2019"
"ihwagiPoachingLowersElephant2019","Poaching lowers elephant path tortuosity implications for conservation","FW Ihwagi, AK Skidmore, TJ Wang, G Bastille-Rousseau, AG Toxopeus, I Douglas-Hamilton","2019"
"evansHourlyMovementDecisions2019","Hourly movement decisions indicate how a large carnivore inhabits developed landscapes","MJ Evans, JE Hawley, PW Rego, TAG Rittenhouse","2019"
"dwinnellWhereForageWhen2019","Where to forage when afraid Does perceived risk impair use of the foodscape?","SPH Dwinnell, H Sawyer, JE Randall, JL Beck, JS Forbey, GL Fralick, KL Monteith","2019"
"devoeElkForageRisk2019","Elk forage and risk tradeoffs during the fall archery season","JD Devoe, KM Proffitt, MS Mitchell, CS Jourdonnais, KJ Barker","2019"
"davilaAntipredatorBehaviorPure2019","Anti-predator behavior in pure and hybrid red-legged partridges","SG Davila, OT Cuenca, MG Gil, OA Toledano-Diaz, C Castano, J Santiago-Moreno, JL Campo","2019"
"blumsteinWhatChasingBirds2019","What chasing birds can teach us about predation risk effects Past insights and future directions","DT Blumstein","2019"
"blackwellSocialInformationAffects2019","Social information affects Canada goose alert and escape responses to vehicle approach implications for animal-vehicle collisions","BF Blackwell, TW Seamans, TL DeVault, SL Lima, MB Pfeiffer, E Fernandez-Juricic","2019"
"benevidesFearinducedBehaviouralModifications2019","Fear-induced behavioural modifications in damselfishes can be diver-triggered","LJ Benevides, GC Cardozo-Ferreira, CEL Ferreira, PHC Pereira, TK Pinto, CLS Sampaio","2019"
"austinFlightResponsesEastern2019","Flight responses of eastern gray kangaroos to benign or harmful human behavior","CM Austin, D Ramp","2019"
"alldredgeHumanCougarInteractionsWildlandurban2019","Human-Cougar interactions in the wildland-urban interface of Colorado's front range","MW Alldredge, FE Buderman, KA Blecha","2019"
"millerLandscapeFearHumanpredator2019","Landscape of fear and human-predator coexistence Applying spatial predator-prey interaction theory to understand and reduce carnivore-livestock conflict","JRB Miller, OJ Schmitz","2019"
"zanetteEcologyNeurobiologyFear2020","Ecology and Neurobiology of Fear in Free-Living Wildlife","LY Zanette, M Clinchy","2020"
"yamaguchiRelationshipHuntingTime2020","Relationship Between Hunting Time Schedule and Sika Deer Spatial Displacement in Hunting with and Without Driving","S Yamaguchi, KM Takeshita, K Tanikawa, K Kaji","2020"
"williamsHighHumanDisturbance2020","High human disturbance decreases individual variability in skink escape behavior","DM Williams, PT Nguyen, K Chan, M Krohn, DT Blumstein","2020"
"weversTradingFearFood2020","Trading fear for food in the Anthropocene How ungulates cope with human disturbance in a multi-use, suburban ecosystem","J Wevers, J Fattebert, J Casaer, T Artois, N Beenaerts","2020"
"turnerRisktakingFreelivingSpotted2020","Risk-taking in free-living spotted hyenas is associated with anthropogenic disturbance, predicts survivorship, and is consistent across experimental contexts","JW Turner, RM LaFleur, AT Richardson, KE Holekamp","2020"
"tryjanowskiEmergenceToleranceHuman2020","The emergence of tolerance of human disturbance in Neotropical birds","P Tryjanowski, JZ Kosicki, M Hromada, P Mikula","2020"
"troupMovementTortuositySpeed2020","Movement tortuosity and speed reveal the trade-offs of crop raiding for African elephants","G Troup, B Doran, J Au, LE King, I Douglas-Hamilton, R Heinsohn","2020"
"sergeyevInfluenceHabitatUse2020","The influence of habitat use on harvest vulnerability of cow elk (Cervus canadensis)","M Sergeyev, BR McMillan, KR Hersey, RT Larsen","2020"
"perryIndividualResponsesNovel2020","Individual responses to novel predation risk and the emergence of a landscape of fear","T.A. Perry, M.P. Laforge, E. Vander Wal, T.W. Knight, P.D. McLoughlin","2020"
"montgomeryInducibleDefencesLarge2020","The inducible defences of large mammals to human lethality","RA Montgomery, DW Macdonald, MW Hayward","2020"
"montero-quintanaEcotourismImpactsBehaviour2020","Ecotourism impacts on the behaviour of whale sharks an experimental approach","AN Montero-Quintana, JA Vazquez-Haikin, T Merkling, P Blanchard, M Osorio-Beristain","2020"
"millsHumansDisruptAccess2020","Humans disrupt access to prey for large African carnivores","KL Mills, NC Harris","2020"
"mendesLandscapeHumanFear2020","Landscape of human fear in Neotropical rainforest mammals","CP Mendes, D Carreira, F Pedrosa, G Beca, L Lautenschlager, P Akkawi, W Berce, KMPMB Ferraz, M Galetti","2020"
"mbiseHumanHabituationReduces2020","Human habituation reduces hyrax flight initiation distance in Serengeti","FP Mbise, KE Fredriksen, PS Ranke, C Jackson, R Fyumagwa, T Holmern, F Fossoy, E Roskaft","2020"
"jacobySharkMovementStrategies2020","Shark movement strategies influence poaching risk and can guide enforcement decisions in a large, remote marine protected area","D.M.P. Jacoby, F. Ferretti, R. Freeman, A.B. Carlisle, T.K. Chapple, D.J. Curnick, J.J. Dale, R.J. Schallert, D. Tickler, B.A. Block","2020"
"houdeManipulatingForageRisk2020","Manipulating forage and risk avoidance to increase white-tailed deer vulnerability to hunters","N Houde, JP Tremblay, N Thiffault, SD Cote","2020"
"haswellFearDarkMesopredator2020","Fear of the dark? A mesopredator mitigates large carnivore risk through nocturnality, but humans moderate the interaction","PM Haswell, J Kusak, KA Jones, MW Hayward","2020"
"hallFlightInitiationDistance2020","Flight initiation distance changes across landscapes and habitats in a successful urban coloniser","MJ Hall, AL Burns, JM Martin, DF Hochuli","2020"
"goumasHerringGullAversion2020","Herring gull aversion to gaze in urban and rural human settlements","M Goumas, TR Collins, L Fordham, LA Kelley, NJ Boogert","2020"
"gehrStayHomeStay2020","Stay home, stay safe-Site familiarity reduces predation risk in a large herbivore in two contrasting study sites","B Gehr, NC Bonnot, M Heurich, F Cagnacci, S Ciuti, AJM Hewison, JM Gaillard, N Ranc, J Premier, K Vogt, E Hofer, A Ryser, E Vimercati, LF Keller","2020"
"geffroyEvolutionaryDynamicsAnthropocene2020","Evolutionary dynamics in the Anthropocene Life history and intensity of human contact shape antipredator responses","B Geffroy, B Sadoul, BJ Putman, O Berger-Tal, LZ Garamszegi, AP Moller, DT Blumstein","2020"
