"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"brownEvaluatingIndirectEffects2020","treatment-control","temporal","GPS",NA,"Mule Deer","Odocoileus hemionus","lethal interaction","negative control","displacement","movement rate + range size","control","daily nocturnal movements",1040,"","meters",324.037034920393,NA,NA,"sd",-1,42,"",3.20950967921151
"brownEvaluatingIndirectEffects2020","treatment-control","temporal","GPS",NA,"Mule Deer","Odocoileus hemionus","lethal interaction","negative control","home range","movement rate + range size","hunting","",3.22,"","meters",1.62018517460197,NA,NA,"sd",-1,42,"",1.98742714751174
"brownEvaluatingIndirectEffects2020","treatment-control","temporal","GPS",NA,"Mule Deer","Odocoileus hemionus","lethal interaction","negative control","home range","movement rate + range size","control","",2.9,"","meters",1.42576295364973,NA,NA,"sd",-1,42,"",2.03399870404576
"camillewardPredictorsVigilanceAmerican1997","correlational","spatial","FIS",NA,"American Crow","Corvus branchyrhynchos","active interaction","none","vigilance","vigilance time + foraging time","passive disturbance","",1e-04," proportion,duration","coefficient",4e-06,NA,NA,"se",1,46,"time",25
"cappaEffectsRoadsBehaviour2017","correlational","none","FIS",NA,"Guanco","Lama guanicoe","passive interaction","none","vigilance","vigilance rate pop.","passive disturbance","",0.34,"proportion,duration","coefficient",0.196428571428571,0.59,0.08,"sd",1,172,"",1.73090909090909
"cappaEffectsRoadsBehaviour2017","correlational","none","FIS",NA,"Guanco","Lama guanicoe","passive interaction","none","foraging","vigilance rate pop.","passive disturbance","",-0.2,"proportion,duration","coefficient",0.137755102040816,-0.02,-0.38,"sd",1,182,"",1.45185185185185
"chen-krausHumanLemurCoexistenceMultipleUse2022","correlational","none","FIS",1200,"Verreaux’s Sifaka","Propicthecus verreauxi","passive interaction","none","vigilance","foraging time + vigilance time","passive disturbance","",1.59,"duration","odds",0.303571428571429,2.06,1.23,"sd",-1,51,"",5.23764705882353
"chen-krausHumanLemurCoexistenceMultipleUse2022","correlational","none","FIS",1200,"Verreaux’s Sifaka","Propicthecus verreauxi","passive interaction","none","foraging","foraging time + vigilance time","passive disturbance","",-0.43,"proportion, duration","coefficient",0.420918367346939,0.12,-0.98,"sd",-1,51,"",1.02157575757576
"ciutiEffectsHumansBehaviour2012","treatment-control","spatial","FIS",450,"Elk","Cervus elaphus","passive interaction","none","foraging","foraging time + vigilance time","active disturbance","",0.101293359477172,"  proportion","time",0.234152734372252,NA,NA,"sd",-1,188,"",0.432595244931617
"ciutiEffectsHumansBehaviour2012","treatment-control","spatial","FIS",450,"Elk","Cervus elaphus","passive interaction","none","foraging","foraging time + vigilance time","control","",0.700681128473853,"  proportion","time",0.192549762304033,NA,NA,"sd",-1,188,"",3.63896127468332
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","hunted","human",123,"","time",73.5,NA,NA,"sd",-1,49,"",1.6734693877551
"clinchyFearHumanSuper2016","playback","Auditory cues","FIS",150,"Badger","Meles meles","lethal interaction","negative control + positive control","foraging","foraging rate + vigilance rate + foraging time + vigilance time","natural predator","dog",120,"","time",57.68,NA,NA,"sd",-1,49,"",2.08044382801664
