"cite.key","group","exposure_category","pop_cn","outcome","smd","se","upper","lower","X","pop_sn","functional_group","trophic_level","cite","year"
"liVigilanceActivityTimeBudget2015","2013_juvenile","Active Interaction","Hooded Crane","Foraging",1.41366690465461,0.199795291882143,1.80525848102428,1.02207532828495,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"liVigilanceActivityTimeBudget2015","2013_juvenile","Active Interaction","Hooded Crane","Vigilance",0.165530885315451,0.180453542178256,0.519213328867511,-0.18815155823661,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"liVigilanceActivityTimeBudget2015","2012_Adult","Active Interaction","Hooded Crane","Foraging",0.805269840221857,0.435235969608224,1.65831666543035,-0.0477769849866326,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"liVigilanceActivityTimeBudget2015","2012_Adult","Active Interaction","Hooded Crane","Vigilance",-0.669044150675542,0.431829628515783,0.177326368672703,-1.51541467002379,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"liVigilanceActivityTimeBudget2015","2012_Juvenile","Active Interaction","Hooded Crane","Foraging",0.457584964226185,0.328139587405243,1.10072673744229,-0.185556808989926,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"liVigilanceActivityTimeBudget2015","2012_Juvenile","Active Interaction","Hooded Crane","Vigilance",-0.21234438681314,0.325521419323476,0.425665871257234,-0.850354644883515,17,"Grus monacha","insectivore","2","Li et al., 2015",2015
"loehrGenderAgeclassspecificReactions2005","juvenile","Active Interaction","Thinhorn Sheep","Vigilance",-0.0566946709513841,0.365221720002938,0.659126746626147,-0.772516088528915,37,"Ovis dalli","herbivore","1","Loehr et al., 2005",2005
"loehrGenderAgeclassspecificReactions2005","juvenile","Active Interaction","Thinhorn Sheep","Foraging",0.437135918532552,0.369483599348949,1.16131046613472,-0.287038629069616,37,"Ovis dalli","herbivore","1","Loehr et al., 2005",2005
"loehrGenderAgeclassspecificReactions2005","adults","Active Interaction","Thinhorn Sheep","Vigilance",0.944319874948176,0.33338678787225,1.59774597209928,0.290893777797071,37,"Ovis dalli","herbivore","1","Loehr et al., 2005",2005
"loehrGenderAgeclassspecificReactions2005","adults","Active Interaction","Thinhorn Sheep","Foraging",0.0499553550054229,0.31627708456142,0.669847049881135,-0.569936339870289,37,"Ovis dalli","herbivore","1","Loehr et al., 2005",2005
